ticker,name,exchange,industry,sector,MarketCap,InternalOwnership,ExternalOwnership,StateOwnership,AvgValue20P
NHH,Công ty Cổ phần Nhựa Hà Nội,HOSE,Hóa chất,Hóa chất,1931320000000,0.142,99.858,0,8478438650
NKG,Công ty Cổ phần Thép Nam Kim,HOSE,Kim loại công nghiệp,Tài nguyên,1455118883280,24.571,75.429,0,19785243325
NLG,Công ty Cổ phần Đầu tư Nam Long,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,7459834886000,24.492,75.508,0,20663379700
NNC,Công ty Cổ phần Đá Núi Nhỏ,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,1045584000000,4.44,95.56,0,1291897950
NRC,Công ty Cổ phần Bất động sản NETLAND,HNX,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,373839484500,51.02,48.98,0,1589816150
NSC,Công ty Cổ phần Giống cây trồng Trung Ương ,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,1230216120000,1.067,98.933,0,1172867900
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 ,HOSE,Điện lực,Dịch vụ tiện ích,6505998255400,0.06,99.94,62.31,3711304550
NTC,Công ty cổ phần Khu Công nghiệp Nam Tân Uyên,UPCOM,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,3803408000000,0.178,99.822,0,4466978800
NTL,Công ty Cổ phần Phát triển đô thị Từ Liêm,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,1097819100000,45.956,54.044,0,9238185250
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong ,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,3957951748800,20.941,79.059,37.1,1882144530
NVB,Ngân hàng Thương mại Cổ phần Quốc Dân ,HNX,Ngân hàng,Ngân hàng,3539191206900,12.581,87.419,0,21847834805
NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,61302090254400,36.157,63.843,0,87509471900
OGC,Công ty Cổ phần Tập đoàn Đại Dương ,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,2297999992340,10.663,89.337,12.02,11207679495
OIL,Tổng Công ty Dầu Việt Nam – Công ty cổ phần,UPCOM,Sản xuất dầu khí,Dầu khí,8435175802000,0,100,80.52,3308066770
PAC,Công ty Cổ phần Pin Ắc quy miền Nam,HOSE,Dụng cụ điện & Điện tử,Hàng hóa và dịch vụ công nghiệp,1208264382000,0.041,99.959,51.43,1081359250
PAN,Công ty Cổ phần Tập đoàn PAN,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,4053799750000,4.229,95.771,0,2012389650
PAS,CÔNG TY CỔ PHẦN QUỐC TẾ PHƯƠNG ANH,UPCOM,Kim loại công nghiệp,Tài nguyên,317067000000,10.17,89.83,0,6776523550
PC1,Công ty cổ phần Xây lắp điện I,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,3616643381900,27.188,72.812,0,4601576300
